Country,State,County,Location,Population
US,Utah,Duchesne,US:Utah:Duchesne,20308
US,Massachusetts,Dukes,US:Massachusetts:Dukes,17256
US,Nebraska,Dundy,US:Nebraska:Dundy,1981
US,Missouri,Dunklin,US:Missouri:Dunklin,31712
US,North Dakota,Dunn,US:North Dakota:Dunn,4162
US,Wisconsin,Dunn,US:Wisconsin:Dunn,44122
US,Illinois,DuPage,US:Illinois:DuPage,932126
US,North Carolina,Duplin,US:North Carolina:Duplin,60084
US,North Carolina,Durham,US:North Carolina:Durham,288133
US,New York,Dutchess,US:New York:Dutchess,296916
US,Florida,Duval,US:Florida:Duval,885855
US,Texas,Duval,US:Texas:Duval,11640
US,Tennessee,Dyer,US:Tennessee:Dyer,38213
US,Colorado,Eagle,US:Colorado:Eagle,52460
US,Georgia,Early,US:Georgia:Early,10542
US,Louisiana,East Baton Rouge,US:Louisiana:East Baton Rouge,445227
US,Louisiana,East Carroll,US:Louisiana:East Carroll,7529
US,Louisiana,East Feliciana,US:Louisiana:East Feliciana,19728
US,American Samoa,Eastern District,US:American Samoa:Eastern District,23030
US,Texas,Eastland,US:Texas:Eastland,18245
US,Michigan,Eaton,US:Michigan:Eaton,108348
US,Wisconsin,Eau Claire,US:Wisconsin:Eau Claire,101438
US,Georgia,Echols,US:Georgia:Echols,4057
US,Texas,Ector,US:Texas:Ector,149378
US,New Mexico,Eddy,US:New Mexico:Eddy,55471
US,North Dakota,Eddy,US:North Dakota:Eddy,2404
US,Illinois,Edgar,US:Illinois:Edgar,17960
US,North Carolina,Edgecombe,US:North Carolina:Edgecombe,55574
US,South Carolina,Edgefield,US:South Carolina:Edgefield,26436
US,Kentucky,Edmonson,US:Kentucky:Edmonson,12062
US,South Dakota,Edmunds,US:South Dakota:Edmunds,4041
US,Illinois,Edwards,US:Illinois:Edwards,6672
US,Kansas,Edwards,US:Kansas:Edwards,2945
US,Texas,Edwards,US:Texas:Edwards,1884
US,Georgia,Effingham,US:Georgia:Effingham,54456
US,Illinois,Effingham,US:Illinois:Effingham,34307
US,California,El Dorado,US:California:El Dorado,181737
US,Colorado,El Paso,US:Colorado:El Paso,655044
US,Texas,El Paso,US:Texas:El Paso,827718
US,Colorado,Elbert,US:Colorado:Elbert,23733
US,Georgia,Elbert,US:Georgia:Elbert,19599
US,Kansas,Elk,US:Kansas:Elk,2655
US,Pennsylvania,Elk,US:Pennsylvania:Elk,31479
US,Indiana,Elkhart,US:Indiana:Elkhart,200563
US,Nevada,Elko,US:Nevada:Elko,52384
US,Kentucky,Elliott,US:Kentucky:Elliott,7637
US,Kansas,Ellis,US:Kansas:Ellis,29061
US,Oklahoma,Ellis,US:Oklahoma:Ellis,4170
US,Texas,Ellis,US:Texas:Ellis,155976
US,Kansas,Ellsworth,US:Kansas:Ellsworth,6398
US,Alabama,Elmore,US:Alabama:Elmore,80902
US,Idaho,Elmore,US:Idaho:Elmore,26170
US,Georgia,Emanuel,US:Georgia:Emanuel,22867
US,Utah,Emery,US:Utah:Emery,10749
US,Iowa,Emmet,US:Iowa:Emmet,9996
US,Michigan,Emmet,US:Michigan:Emmet,33140
US,North Dakota,Emmons,US:North Dakota:Emmons,3486
US,Virginia,"Emporia, City of","US:Virginia:Emporia, City of",5588
US,Texas,Erath,US:Texas:Erath,39658
US,New York,Erie,US:New York:Erie,919866
US,Ohio,Erie,US:Ohio:Erie,76048
US,Pennsylvania,Erie,US:Pennsylvania:Erie,280294
US,Alabama,Escambia,US:Alabama:Escambia,37983
US,Florida,Escambia,US:Florida:Escambia,305817
US,Nevada,Esmeralda,US:Nevada:Esmeralda,832
US,Massachusetts,Essex,US:Massachusetts:Essex,762550
US,New Jersey,Essex,US:New Jersey:Essex,789565
US,New York,Essex,US:New York:Essex,38762
US,Vermont,Essex,US:Vermont:Essex,6211
US,Virginia,Essex,US:Virginia:Essex,11229
US,Kentucky,Estill,US:Kentucky:Estill,14488
US,Alabama,Etowah,US:Alabama:Etowah,103931
US,Nevada,Eureka,US:Nevada:Eureka,2076
US,Louisiana,Evangeline,US:Louisiana:Evangeline,33578
US,Georgia,Evans,US:Georgia:Evans,10833
US,Alaska,Fairbanks North Star,US:Alaska:Fairbanks North Star,100436
US,Virginia,Fairfax,US:Virginia:Fairfax,1130924
US,Virginia,"Fairfax, City of","US:Virginia:Fairfax, City of",23973
US,Connecticut,Fairfield,US:Connecticut:Fairfield,939904
US,Ohio,Fairfield,US:Ohio:Fairfield,148867
US,South Carolina,Fairfield,US:South Carolina:Fairfield,23109
US,Puerto Rico,Fajardo Municipality,US:Puerto Rico:Fajardo Municipality,36993
US,South Dakota,Fall River,US:South Dakota:Fall River,6839
US,Montana,Fallon,US:Montana:Fallon,3079
US,Texas,Falls,US:Texas:Falls,17493
US,Virginia,"Falls Church, City of","US:Virginia:Falls Church, City of",13508
US,Georgia,Fannin,US:Georgia:Fannin,23760
US,Texas,Fannin,US:Texas:Fannin,33659
US,Minnesota,Faribault,US:Minnesota:Faribault,14191
US,South Dakota,Faulk,US:South Dakota:Faulk,2386
US,Arkansas,Faulkner,US:Arkansas:Faulkner,119580
US,Virginia,Fauquier,US:Virginia:Fauquier,67207
US,Alabama,Fayette,US:Alabama:Fayette,16909
US,Georgia,Fayette,US:Georgia:Fayette,108365
US,Illinois,Fayette,US:Illinois:Fayette,22060
US,Indiana,Fayette,US:Indiana:Fayette,23861
US,Iowa,Fayette,US:Iowa:Fayette,20502
US,Kentucky,Fayette,US:Kentucky:Fayette,308428
US,Ohio,Fayette,US:Ohio:Fayette,28800
US,Pennsylvania,Fayette,US:Pennsylvania:Fayette,134999
US,Tennessee,Fayette,US:Tennessee:Fayette,38690
US,Texas,Fayette,US:Texas:Fayette,24821
US,West Virginia,Fayette,US:West Virginia:Fayette,45599
US,Tennessee,Fentress,US:Tennessee:Fentress,17909
US,Montana,Fergus,US:Montana:Fergus,11501
US,Washington,Ferry,US:Washington:Ferry,7646
US,Minnesota,Fillmore,US:Minnesota:Fillmore,20835
US,Nebraska,Fillmore,US:Nebraska:Fillmore,5698
US,Kansas,Finney,US:Kansas:Finney,37098
US,Texas,Fisher,US:Texas:Fisher,3856
US,Florida,Flagler,US:Florida:Flagler,99956
US,Montana,Flathead,US:Montana:Flathead,93068
US,Kentucky,Fleming,US:Kentucky:Fleming,14508
US,South Carolina,Florence,US:South Carolina:Florence,138326
US,Wisconsin,Florence,US:Wisconsin:Florence,4520
US,Puerto Rico,Florida Municipality,US:Puerto Rico:Florida Municipality,12680
US,Georgia,Floyd,US:Georgia:Floyd,95821
US,Indiana,Floyd,US:Indiana:Floyd,76244
US,Iowa,Floyd,US:Iowa:Floyd,16092
US,Kentucky,Floyd,US:Kentucky:Floyd,38728
US,Texas,Floyd,US:Texas:Floyd,6230
US,Virginia,Floyd,US:Virginia:Floyd,15528
US,Virginia,Fluvanna,US:Virginia:Fluvanna,25977
US,Texas,Foard,US:Texas:Foard,1277
US,Wisconsin,Fond du Lac,US:Wisconsin:Fond du Lac,101798
US,Illinois,Ford,US:Illinois:Ford,13832
US,Kansas,Ford,US:Kansas:Ford,34819
US,Pennsylvania,Forest,US:Pennsylvania:Forest,7631
US,Wisconsin,Forest,US:Wisconsin:Forest,9126
US,Mississippi,Forrest,US:Mississippi:Forrest,77059
US,Georgia,Forsyth,US:Georgia:Forsyth,195405
US,North Carolina,Forsyth,US:North Carolina:Forsyth,361220
US,Texas,Fort Bend,US:Texas:Fort Bend,652365
US,North Dakota,Foster,US:North Dakota:Foster,3366
US,Indiana,Fountain,US:Indiana:Fountain,16880
US,Alabama,Franklin,US:Alabama:Franklin,31532
US,Arkansas,Franklin,US:Arkansas:Franklin,18034
US,Florida,Franklin,US:Florida:Franklin,11598
US,Georgia,Franklin,US:Georgia:Franklin,22009
US,Idaho,Franklin,US:Idaho:Franklin,12854
US,Illinois,Franklin,US:Illinois:Franklin,39202
US,Indiana,Franklin,US:Indiana:Franklin,22951
US,Iowa,Franklin,US:Iowa:Franklin,10548
US,Kansas,Franklin,US:Kansas:Franklin,25740
US,Kentucky,Franklin,US:Kentucky:Franklin,49648
US,Louisiana,Franklin,US:Louisiana:Franklin,20571
US,Maine,Franklin,US:Maine:Franklin,30495
US,Massachusetts,Franklin,US:Massachusetts:Franklin,71221
US,Mississippi,Franklin,US:Mississippi:Franklin,7931
US,Missouri,Franklin,US:Missouri:Franklin,101816
US,Nebraska,Franklin,US:Nebraska:Franklin,3085
US,New York,Franklin,US:New York:Franklin,51688
US,North Carolina,Franklin,US:North Carolina:Franklin,62260
US,Ohio,Franklin,US:Ohio:Franklin,1212263
US,Pennsylvania,Franklin,US:Pennsylvania:Franklin,152085
US,Tennessee,Franklin,US:Tennessee:Franklin,41129
US,Texas,Franklin,US:Texas:Franklin,10660
US,Vermont,Franklin,US:Vermont:Franklin,48294
US,Virginia,Franklin,US:Virginia:Franklin,56335
US,Washington,Franklin,US:Washington:Franklin,86638
US,Virginia,"Franklin, City of","US:Virginia:Franklin, City of",8638
US,Maryland,Frederick,US:Maryland:Frederick,241409
US,Virginia,Frederick,US:Virginia:Frederick,81319
US,Virginia,"Fredericksburg, City of","US:Virginia:Fredericksburg, City of",28132
US,Minnesota,Freeborn,US:Minnesota:Freeborn,30948
US,Texas,Freestone,US:Texas:Freestone,19646
US,Colorado,Fremont,US:Colorado:Fremont,46451
US,Idaho,Fremont,US:Idaho:Fremont,12927
US,Iowa,Fremont,US:Iowa:Fremont,7080
US,Wyoming,Fremont,US:Wyoming:Fremont,40998
US,California,Fresno,US:California:Fresno,955272
US,Texas,Frio,US:Texas:Frio,18065
US,Nebraska,Frontier,US:Nebraska:Frontier,2709
US,Arkansas,Fulton,US:Arkansas:Fulton,12304
US,Georgia,Fulton,US:Georgia:Fulton,1010562
US,Illinois,Fulton,US:Illinois:Fulton,36346
US,Indiana,Fulton,US:Indiana:Fulton,20449
US,Kentucky,Fulton,US:Kentucky:Fulton,6385
US,New York,Fulton,US:New York:Fulton,54586
US,Ohio,Fulton,US:Ohio:Fulton,42488
US,Pennsylvania,Fulton,US:Pennsylvania:Fulton,14670
US,Nebraska,Furnas,US:Nebraska:Furnas,4865
US,Florida,Gadsden,US:Florida:Gadsden,46194
US,Nebraska,Gage,US:Nebraska:Gage,21864
US,Texas,Gaines,US:Texas:Gaines,18921
US,Virginia,"Galax, City of","US:Virginia:Galax, City of",7035
US,Illinois,Gallatin,US:Illinois:Gallatin,5415
US,Kentucky,Gallatin,US:Kentucky:Gallatin,8474
US,Montana,Gallatin,US:Montana:Gallatin,94720
US,Ohio,Gallia,US:Ohio:Gallia,30621
US,Texas,Galveston,US:Texas:Galveston,306782
US,Nebraska,Garden,US:Nebraska:Garden,1902
US,Colorado,Garfield,US:Colorado:Garfield,57302
US,Montana,Garfield,US:Montana:Garfield,1290
US,Nebraska,Garfield,US:Nebraska:Garfield,2035
US,Oklahoma,Garfield,US:Oklahoma:Garfield,62267
US,Utah,Garfield,US:Utah:Garfield,5083
US,Washington,Garfield,US:Washington:Garfield,2256
US,Arkansas,Garland,US:Arkansas:Garland,97173
US,Kentucky,Garrard,US:Kentucky:Garrard,16915
US,Maryland,Garrett,US:Maryland:Garrett,29889
US,Oklahoma,Garvin,US:Oklahoma:Garvin,27334
US,Texas,Garza,US:Texas:Garza,6317
US,Missouri,Gasconade,US:Missouri:Gasconade,14901
US,North Carolina,Gaston,US:North Carolina:Gaston,209420
US,North Carolina,Gates,US:North Carolina:Gates,11650
US,Kansas,Geary,US:Kansas:Geary,37384
US,Ohio,Geauga,US:Ohio:Geauga,93972
US,Idaho,Gem,US:Idaho:Gem,16686
US,Michigan,Genesee,US:Michigan:Genesee,415376
US,New York,Genesee,US:New York:Genesee,59454
US,Alabama,Geneva,US:Alabama:Geneva,26727
US,Missouri,Gentry,US:Missouri:Gentry,6775
US,Mississippi,George,US:Mississippi:George,23159
US,South Carolina,Georgetown,US:South Carolina:Georgetown,60440
US,Indiana,Gibson,US:Indiana:Gibson,33612
US,Tennessee,Gibson,US:Tennessee:Gibson,49457
US,Arizona,Gila,US:Arizona:Gila,53053
US,Florida,Gilchrist,US:Florida:Gilchrist,16931
US,Tennessee,Giles,US:Tennessee:Giles,28746
US,Virginia,Giles,US:Virginia:Giles,16925
US,Texas,Gillespie,US:Texas:Gillespie,25357
US,Oregon,Gilliam,US:Oregon:Gilliam,1947
US,Georgia,Gilmer,US:Georgia:Gilmer,28579
US,West Virginia,Gilmer,US:West Virginia:Gilmer,8672
US,Colorado,Gilpin,US:Colorado:Gilpin,5601
US,Montana,Glacier,US:Montana:Glacier,13739
US,Florida,Glades,US:Florida:Glades,13345
US,Michigan,Gladwin,US:Michigan:Gladwin,25493
US,Georgia,Glascock,US:Georgia:Glascock,3102
US,Texas,Glasscock,US:Texas:Glasscock,1251
US,California,Glenn,US:California:Glenn,27940
US,New Jersey,Gloucester,US:New Jersey:Gloucester,290265
US,Virginia,Gloucester,US:Virginia:Gloucester,36834
US,Georgia,Glynn,US:Georgia:Glynn,81508
US,Michigan,Gogebic,US:Michigan:Gogebic,15916
US,Montana,Golden Valley,US:Montana:Golden Valley,859
US,North Dakota,Golden Valley,US:North Dakota:Golden Valley,1823
US,Texas,Goliad,US:Texas:Goliad,7465
US,Texas,Gonzales,US:Texas:Gonzales,20312
US,Virginia,Goochland,US:Virginia:Goochland,21626
US,Minnesota,Goodhue,US:Minnesota:Goodhue,46464
US,Idaho,Gooding,US:Idaho:Gooding,15080
US,Georgia,Gordon,US:Georgia:Gordon,55757
US,Wyoming,Goshen,US:Wyoming:Goshen,13612
US,Nebraska,Gosper,US:Nebraska:Gosper,1972
US,Kansas,Gove,US:Kansas:Gove,2769
US,Georgia,Grady,US:Georgia:Grady,25278
US,Oklahoma,Grady,US:Oklahoma:Grady,53685
US,New Hampshire,Grafton,US:New Hampshire:Grafton,89629
US,Arizona,Graham,US:Arizona:Graham,37482
US,Kansas,Graham,US:Kansas:Graham,2593
US,North Carolina,Graham,US:North Carolina:Graham,8736
US,Tennessee,Grainger,US:Tennessee:Grainger,22702
US,Colorado,Grand,US:Colorado:Grand,14289
US,Utah,Grand,US:Utah:Grand,9360
US,North Dakota,Grand Forks,US:North Dakota:Grand Forks,69179
US,Vermont,Grand Isle,US:Vermont:Grand Isle,6987
US,Michigan,Grand Traverse,US:Michigan:Grand Traverse,89987
US,Montana,Granite,US:Montana:Granite,3138
US,Arkansas,Grant,US:Arkansas:Grant,18019
US,Indiana,Grant,US:Indiana:Grant,69126
US,Kansas,Grant,US:Kansas:Grant,7950
US,Kentucky,Grant,US:Kentucky:Grant,24753
US,Louisiana,Grant,US:Louisiana:Grant,22030
US,Minnesota,Grant,US:Minnesota:Grant,5989
US,Nebraska,Grant,US:Nebraska:Grant,633
US,New Mexico,Grant,US:New Mexico:Grant,29328
US,North Dakota,Grant,US:North Dakota:Grant,2377
US,Oklahoma,Grant,US:Oklahoma:Grant,4528
US,Oregon,Grant,US:Oregon:Grant,7283
US,South Dakota,Grant,US:South Dakota:Grant,7281
US,Washington,Grant,US:Washington:Grant,91878
US,West Virginia,Grant,US:West Virginia:Grant,11759
US,Wisconsin,Grant,US:Wisconsin:Grant,51069
US,North Carolina,Granville,US:North Carolina:Granville,58275
US,Michigan,Gratiot,US:Michigan:Gratiot,41968
US,Kentucky,Graves,US:Kentucky:Graves,37451
US,Kansas,Gray,US:Kansas:Gray,6009
US,Texas,Gray,US:Texas:Gray,23043
US,Washington,Grays Harbor,US:Washington:Grays Harbor,71078
US,Kentucky,Grayson,US:Kentucky:Grayson,25997
US,Texas,Grayson,US:Texas:Grayson,122353
US,Virginia,Grayson,US:Virginia:Grayson,15161
US,Kansas,Greeley,US:Kansas:Greeley,1290
US,Nebraska,Greeley,US:Nebraska:Greeley,2494
US,Kentucky,Green,US:Kentucky:Green,11180
US,Wisconsin,Green,US:Wisconsin:Green,37090
US,Wisconsin,Green Lake,US:Wisconsin:Green Lake,18959
US,West Virginia,Greenbrier,US:West Virginia:Greenbrier,35644
US,Alabama,Greene,US:Alabama:Greene,8744
US,Arkansas,Greene,US:Arkansas:Greene,43097
US,Georgia,Greene,US:Georgia:Greene,16321
US,Illinois,Greene,US:Illinois:Greene,13629
US,Indiana,Greene,US:Indiana:Greene,32781
US,Iowa,Greene,US:Iowa:Greene,9139
US,Mississippi,Greene,US:Mississippi:Greene,14244
US,Missouri,Greene,US:Missouri:Greene,283870
US,New York,Greene,US:New York:Greene,48455
US,North Carolina,Greene,US:North Carolina:Greene,21232
US,Ohio,Greene,US:Ohio:Greene,163204
US,Pennsylvania,Greene,US:Pennsylvania:Greene,37838
US,Tennessee,Greene,US:Tennessee:Greene,68267
US,Virginia,Greene,US:Virginia:Greene,18804
US,Arizona,Greenlee,US:Arizona:Greenlee,9049
US,Virginia,Greensville,US:Virginia:Greensville,11886
US,Kentucky,Greenup,US:Kentucky:Greenup,36519
US,South Carolina,Greenville,US:South Carolina:Greenville,474266
US,Kansas,Greenwood,US:Kansas:Greenwood,6424
US,South Carolina,Greenwood,US:South Carolina:Greenwood,69723
US,Oklahoma,Greer,US:Oklahoma:Greer,6171
US,Texas,Gregg,US:Texas:Gregg,123024
US,South Dakota,Gregory,US:South Dakota:Gregory,4242
US,Mississippi,Grenada,US:Mississippi:Grenada,21612
US,North Dakota,Griggs,US:North Dakota:Griggs,2296
US,Texas,Grimes,US:Texas:Grimes,26859
US,Illinois,Grundy,US:Illinois:Grundy,50228
US,Iowa,Grundy,US:Iowa:Grundy,12314
US,Missouri,Grundy,US:Missouri:Grundy,10355
US,Tennessee,Grundy,US:Tennessee:Grundy,13498
US,New Mexico,Guadalupe,US:New Mexico:Guadalupe,4551
US,Texas,Guadalupe,US:Texas:Guadalupe,143183
US,Guam,Guam,US:Guam:Guam,162742
US,Puerto Rico,Guánica Municipality,US:Puerto Rico:Guánica Municipality,19427
US,Puerto Rico,Guayama Municipality,US:Puerto Rico:Guayama Municipality,45362
US,Puerto Rico,Guayanilla Municipality,US:Puerto Rico:Guayanilla Municipality,21581
US,Puerto Rico,Guaynabo Municipality,US:Puerto Rico:Guaynabo Municipality,97924
US,Ohio,Guernsey,US:Ohio:Guernsey,39636
US,North Carolina,Guilford,US:North Carolina:Guilford,506610
US,Florida,Gulf,US:Florida:Gulf,15829
US,Colorado,Gunnison,US:Colorado:Gunnison,15507
US,Puerto Rico,Gurabo Municipality,US:Puerto Rico:Gurabo Municipality,45369
US,Iowa,Guthrie,US:Iowa:Guthrie,10687
US,Georgia,Gwinnett,US:Georgia:Gwinnett,859304
US,South Dakota,Haakon,US:South Dakota:Haakon,1894
US,Georgia,Habersham,US:Georgia:Habersham,43300
US,Alaska,Haines,US:Alaska:Haines,2592
US,Alabama,Hale,US:Alabama:Hale,15406
US,Texas,Hale,US:Texas:Hale,35764
US,North Carolina,Halifax,US:North Carolina:Halifax,53453
US,Virginia,Halifax,US:Virginia:Halifax,35401
US,Georgia,Hall,US:Georgia:Hall,187745
US,Nebraska,Hall,US:Nebraska:Hall,60720
US,Texas,Hall,US:Texas:Hall,3239
US,Tennessee,Hamblen,US:Tennessee:Hamblen,63074
US,Florida,Hamilton,US:Florida:Hamilton,14354
US,Illinois,Hamilton,US:Illinois:Hamilton,8368
US,Indiana,Hamilton,US:Indiana:Hamilton,296693
US,Iowa,Hamilton,US:Iowa:Hamilton,15312
US,Kansas,Hamilton,US:Kansas:Hamilton,2609
US,Nebraska,Hamilton,US:Nebraska:Hamilton,9112
US,New York,Hamilton,US:New York:Hamilton,4773
US,Ohio,Hamilton,US:Ohio:Hamilton,804520
US,Tennessee,Hamilton,US:Tennessee:Hamilton,348673
US,Texas,Hamilton,US:Texas:Hamilton,8310
US,South Dakota,Hamlin,US:South Dakota:Hamlin,5961
US,Massachusetts,Hampden,US:Massachusetts:Hampden,467319
US,Massachusetts,Hampshire,US:Massachusetts:Hampshire,159596
US,West Virginia,Hampshire,US:West Virginia:Hampshire,23445
US,South Carolina,Hampton,US:South Carolina:Hampton,20408
US,Virginia,"Hampton, City of","US:Virginia:Hampton, City of",136699
US,Georgia,Hancock,US:Georgia:Hancock,8879
US,Illinois,Hancock,US:Illinois:Hancock,18618
US,Indiana,Hancock,US:Indiana:Hancock,71575
US,Iowa,Hancock,US:Iowa:Hancock,11094
US,Kentucky,Hancock,US:Kentucky:Hancock,8687
US,Maine,Hancock,US:Maine:Hancock,54845
US,Mississippi,Hancock,US:Mississippi:Hancock,45566
US,Ohio,Hancock,US:Ohio:Hancock,75773
US,Tennessee,Hancock,US:Tennessee:Hancock,6679
US,West Virginia,Hancock,US:West Virginia:Hancock,30291
US,South Dakota,Hand,US:South Dakota:Hand,3391
US,Virginia,Hanover,US:Virginia:Hanover,101330
US,Texas,Hansford,US:Texas:Hansford,5555
US,South Dakota,Hanson,US:South Dakota:Hanson,3405
US,Georgia,Haralson,US:Georgia:Haralson,28495
US,Florida,Hardee,US:Florida:Hardee,27519
US,Tennessee,Hardeman,US:Tennessee:Hardeman,26306
US,Texas,Hardeman,US:Texas:Hardeman,4016
US,Illinois,Hardin,US:Illinois:Hardin,4181
US,Iowa,Hardin,US:Iowa:Hardin,17441
US,Kentucky,Hardin,US:Kentucky:Hardin,108191
US,Ohio,Hardin,US:Ohio:Hardin,31641
US,Tennessee,Hardin,US:Tennessee:Hardin,26034
US,Texas,Hardin,US:Texas:Hardin,55417
US,New Mexico,Harding,US:New Mexico:Harding,693
US,South Dakota,Harding,US:South Dakota:Harding,1262
US,West Virginia,Hardy,US:West Virginia:Hardy,13920
US,Maryland,Harford,US:Maryland:Harford,249215
US,Kentucky,Harlan,US:Kentucky:Harlan,28499
US,Nebraska,Harlan,US:Nebraska:Harlan,3513
US,Oklahoma,Harmon,US:Oklahoma:Harmon,2869
US,North Carolina,Harnett,US:North Carolina:Harnett,124987
US,Oregon,Harney,US:Oregon:Harney,7146
US,Kansas,Harper,US:Kansas:Harper,5860
US,Oklahoma,Harper,US:Oklahoma:Harper,3813
US,Georgia,Harris,US:Georgia:Harris,32663
US,Texas,Harris,US:Texas:Harris,4336853
US,Indiana,Harrison,US:Indiana:Harrison,39163
US,Iowa,Harrison,US:Iowa:Harrison,14431
US,Kentucky,Harrison,US:Kentucky:Harrison,18518
US,Mississippi,Harrison,US:Mississippi:Harrison,196500
US,Missouri,Harrison,US:Missouri:Harrison,8741
US,Ohio,Harrison,US:Ohio:Harrison,15622
US,Texas,Harrison,US:Texas:Harrison,66886
US,West Virginia,Harrison,US:West Virginia:Harrison,68972
US,Virginia,"Harrisonburg, City of","US:Virginia:Harrisonburg, City of",51395
US,Georgia,Hart,US:Georgia:Hart,25446
US,Kentucky,Hart,US:Kentucky:Hart,18573
US,Connecticut,Hartford,US:Connecticut:Hartford,898272
US,Texas,Hartley,US:Texas:Hartley,6100
US,Kansas,Harvey,US:Kansas:Harvey,34741
US,Kansas,Haskell,US:Kansas:Haskell,4141
US,Oklahoma,Haskell,US:Oklahoma:Haskell,13052
US,Texas,Haskell,US:Texas:Haskell,5875
US,Puerto Rico,Hatillo Municipality,US:Puerto Rico:Hatillo Municipality,41953
US,Hawaiʻi,Hawaii,US:Hawaiʻi:Hawaii,190821
US,Tennessee,Hawkins,US:Tennessee:Hawkins,56800
US,Nebraska,Hayes,US:Nebraska:Hayes,976
US,Texas,Hays,US:Texas:Hays,176026
US,North Carolina,Haywood,US:North Carolina:Haywood,59183
US,Tennessee,Haywood,US:Tennessee:Haywood,18224
US,Georgia,Heard,US:Georgia:Heard,11558
US,Texas,Hemphill,US:Texas:Hemphill,4158
US,Arkansas,Hempstead,US:Arkansas:Hempstead,22474
US,Illinois,Henderson,US:Illinois:Henderson,6990
US,Kentucky,Henderson,US:Kentucky:Henderson,46347
US,North Carolina,Henderson,US:North Carolina:Henderson,109540
US,Tennessee,Henderson,US:Tennessee:Henderson,28048
US,Texas,Henderson,US:Texas:Henderson,78675
US,Indiana,Hendricks,US:Indiana:Hendricks,153879
US,Florida,Hendry,US:Florida:Hendry,37471
US,Minnesota,Hennepin,US:Minnesota:Hennepin,1198778
US,Virginia,Henrico,US:Virginia:Henrico,318611
US,Alabama,Henry,US:Alabama:Henry,17296
US,Georgia,Henry,US:Georgia:Henry,211128
US,Illinois,Henry,US:Illinois:Henry,49860
US,Indiana,Henry,US:Indiana:Henry,49044
US,Iowa,Henry,US:Iowa:Henry,20222
US,Kentucky,Henry,US:Kentucky:Henry,15445
US,Missouri,Henry,US:Missouri:Henry,22059
US,Ohio,Henry,US:Ohio:Henry,28092
US,Tennessee,Henry,US:Tennessee:Henry,32210
US,Virginia,Henry,US:Virginia:Henry,52617
US,New York,Herkimer,US:New York:Herkimer,64181
US,Florida,Hernando,US:Florida:Hernando,174441
US,North Carolina,Hertford,US:North Carolina:Hertford,24431
US,North Dakota,Hettinger,US:North Dakota:Hettinger,2660
US,Kentucky,Hickman,US:Kentucky:Hickman,4745
US,Tennessee,Hickman,US:Tennessee:Hickman,24267
US,Missouri,Hickory,US:Missouri:Hickory,9305
US,New Mexico,Hidalgo,US:New Mexico:Hidalgo,4654
US,Texas,Hidalgo,US:Texas:Hidalgo,815996
US,Ohio,Highland,US:Ohio:Highland,43299
US,Virginia,Highland,US:Virginia:Highland,2215
US,Florida,Highlands,US:Florida:Highlands,97616
US,Montana,Hill,US:Montana:Hill,16568
US,Texas,Hill,US:Texas:Hill,34823
US,Florida,Hillsborough,US:Florida:Hillsborough,1291578
US,New Hampshire,Hillsborough,US:New Hampshire:Hillsborough,403985
US,Michigan,Hillsdale,US:Michigan:Hillsdale,46101
US,Mississippi,Hinds,US:Mississippi:Hinds,244899
US,Colorado,Hinsdale,US:Colorado:Hinsdale,813
US,Nebraska,Hitchcock,US:Nebraska:Hitchcock,2872
US,Ohio,Hocking,US:Ohio:Hocking,28665
US,Texas,Hockley,US:Texas:Hockley,23530
US,Kansas,Hodgeman,US:Kansas:Hodgeman,1950
US,North Carolina,Hoke,US:North Carolina:Hoke,51322
US,Florida,Holmes,US:Florida:Holmes,19717
US,Mississippi,Holmes,US:Mississippi:Holmes,18428
US,Ohio,Holmes,US:Ohio:Holmes,43593
US,Missouri,Holt,US:Missouri:Holt,4568
US,Nebraska,Holt,US:Nebraska:Holt,10449
US,Hawaiʻi,"Honolulu, City and County of","US:Hawaiʻi:Honolulu, City and County of",983429
US,Texas,Hood,US:Texas:Hood,52905
US,Oregon,Hood River,US:Oregon:Hood River,22675
US,Nebraska,Hooker,US:Nebraska:Hooker,738
US,Alaska,Hoonah–Angoon,US:Alaska:Hoonah–Angoon,2145
US,Virginia,"Hopewell, City of","US:Virginia:Hopewell, City of",22163
US,Kentucky,Hopkins,US:Kentucky:Hopkins,46634
US,Texas,Hopkins,US:Texas:Hopkins,35565
US,Puerto Rico,Hormigueros Municipality,US:Puerto Rico:Hormigueros Municipality,17250
US,South Carolina,Horry,US:South Carolina:Horry,289650
US,Arkansas,Hot Spring,US:Arkansas:Hot Spring,33500
US,Wyoming,Hot Springs,US:Wyoming:Hot Springs,4847
US,Michigan,Houghton,US:Michigan:Houghton,36225
US,Alabama,Houston,US:Alabama:Houston,103668
US,Georgia,Houston,US:Georgia:Houston,147658
US,Minnesota,Houston,US:Minnesota:Houston,18799
US,Tennessee,Houston,US:Tennessee:Houston,8292
US,Texas,Houston,US:Texas:Houston,22911
US,Arkansas,Howard,US:Arkansas:Howard,13581
US,Indiana,Howard,US:Indiana:Howard,82760
US,Iowa,Howard,US:Iowa:Howard,9526
US,Maryland,Howard,US:Maryland:Howard,304580
US,Missouri,Howard,US:Missouri:Howard,10257
US,Nebraska,Howard,US:Nebraska:Howard,6355
US,Texas,Howard,US:Texas:Howard,36147
US,Missouri,Howell,US:Missouri:Howell,40393
